,route_name,route_direction_id,stop_id,stop_name,boardings,alightings,total_b_a,geometry
450,25,238790,60707,Bollinger & Wunderlich,9.15947459403342,3.553238509856157,12.712713103889572,POINT (6126053.13316125 1938709.18851581)
451,25,238790,60708,Moorpark & Lawrence,1.3564255189255194,2.442889463477698,3.7993149824032186,POINT (6126812.08964857 1938604.92067973)
452,25,238790,60709,Williams & Moorpark,11.984300176947237,5.622101019895139,17.60640119684236,POINT (6127387.63049224 1938380.51791331)
453,25,238790,60710,Williams & Happy Valley,2.066431607608078,4.671505536946715,6.7379371445547935,POINT (6128282.14379507 1938239.53427139)
454,25,238790,60711,Williams & Marilla,4.870293758529051,6.603042953778248,11.4733367123073,POINT (6130153.97929025 1938225.44834156)
455,25,238790,60713,Williams & Saratoga,63.222462994521806,26.350471260765353,89.57293425528721,POINT (6132086.313024 1938027.0051689)
456,25,238790,60714,Williams & Ranchero,18.854384830855423,4.740777849601379,23.595162680456806,POINT (6133071.11354783 1938039.15343857)
457,25,238790,60715,Williams & Oakmont,24.741390798743744,8.919320548732312,33.66071134747604,POINT (6134093.12922034 1938050.38799615)
458,25,238790,60716,Williams & Boynton,46.94228851214147,18.152914732326497,65.095203244468,POINT (6135464.84662125 1938140.66471848)
459,25,238790,60717,Williams & Phelps,6.685995785260495,5.413977362506772,12.099973147767269,POINT (6136903.77615808 1938195.7312094)
460,25,238790,60719,Williams & Eden,3.1267273576097088,7.76262585453762,10.889353212147332,POINT (6138570.16357332 1938176.32803299)
461,25,238790,60722,Winchester & Magliocco,64.01413039574807,44.41911250514193,108.43324290089,POINT (6140027.59504166 1939801.83724914)
461,60,238790,60722,Winchester & Magliocco,64.01413039574807,44.41911250514193,108.43324290089,POINT (6140027.59504166 1939801.83724914)
462,25,238790,60723,Moorpark & Winchester,40.23150868739103,14.69774310656664,54.92925179395766,POINT (6140188.72496875 1940778.16797365)
463,25,238790,60724,Moorpark & Monroe,3.6724261849261843,0.9043417366946773,4.576767921620862,POINT (6142065.80848491 1940758.62667415)
464,25,238790,60730,Jeffrey V. Smith & Turner (Valley Medical Center),70.38780067971244,20.002455714220414,90.39025639393282,POINT (6144653.26689266 1940273.86550456)
465,25,238790,60731,Bascom & Jeffrey V. Smith,174.17037749831863,183.98556998556987,358.15594748388855,POINT (6145226.19488066 1940062.26225322)
466,25,238790,60732,Fruitdale & Bascom,106.25024020097548,37.71652008122598,143.96676028220148,POINT (6145521.61095649 1938744.26948239)
467,25,238790,60733,Fruitdale & Sherman Oaks,26.268726371667537,6.109071810542397,32.377798182209936,POINT (6146910.21480659 1938727.0766034)
468,25,238790,60734,Fruitdale & Leigh,62.229343695520214,13.573165968018904,75.80250966353908,POINT (6147665.39702325 1938714.84926565)
469,25,238790,60735,Fruitdale & Southwest Expressway,26.546956638133096,50.8118448544919,77.358801492625,POINT (6148987.38814567 1938697.31911698)
