route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Blue,285.2969.1,3970624,CIVIC CENTER,0,9008,123162,1,1
Blue,285.2969.1,3970612,BAYPOINTE,0,9009,123160,1,1
Blue,285.2969.2,3970736,BAYPOINTE,0,9004,123160,1,1
Blue,285.2969.3,3970838,BAYPOINTE,0,9004,123160,1,1
Blue,285.2969.1,3970613,BAYPOINTE,0,9002,123160,1,1
Blue,285.2969.2,3970737,BAYPOINTE,0,9005,123160,1,1
Blue,285.2969.3,3970839,BAYPOINTE,0,9005,123160,1,1
Blue,285.2969.1,3970614,BAYPOINTE,0,9003,123160,1,1
Blue,285.2969.2,3970738,BAYPOINTE,0,9006,123160,1,1
Blue,285.2969.3,3970840,BAYPOINTE,0,9006,123160,1,1
Blue,285.2969.1,3970615,BAYPOINTE,0,9005,123160,1,1
Blue,285.2969.2,3970739,BAYPOINTE,0,9001,123160,1,1
Blue,285.2969.3,3970841,BAYPOINTE,0,9001,123160,1,1
Blue,285.2969.1,3970616,BAYPOINTE,0,9007,123160,1,1
Blue,285.2969.2,3970740,BAYPOINTE,0,9002,123160,1,1
Blue,285.2969.3,3970842,BAYPOINTE,0,9002,123160,1,1
Blue,285.2969.1,3970617,BAYPOINTE,0,9009,123160,1,1
Blue,285.2969.2,3970741,BAYPOINTE,0,9004,123160,1,1
Blue,285.2969.3,3970843,BAYPOINTE,0,9004,123160,1,1
Blue,285.2969.1,3970618,CIVIC CENTER,0,9003,123159,1,1
Blue,285.2969.2,3970742,CIVIC CENTER,0,9006,123159,1,1
Blue,285.2969.3,3970844,CIVIC CENTER,0,9006,123159,1,1
Blue,285.2969.1,3970619,CIVIC CENTER,0,9007,123159,1,1
Blue,285.2969.2,3970743,CIVIC CENTER,0,9002,123159,1,1
Blue,285.2969.3,3970845,CIVIC CENTER,0,9002,123159,1,1
Blue,285.2969.1,3970625,SANTA TERESA,1,9007,123169,1,1
Blue,285.2969.1,3970626,SANTA TERESA,1,9009,123170,1,1
Blue,285.2969.2,3970794,SANTA TERESA,1,9006,123169,1,1
Blue,285.2969.3,3970896,SANTA TERESA,1,9006,123169,1,1
Blue,285.2969.1,3970628,SANTA TERESA,1,9002,123170,1,1
Blue,285.2969.1,3970627,SANTA TERESA,1,9001,123169,1,1
Blue,285.2969.2,3970744,SANTA TERESA,1,9002,123170,1,1
Blue,285.2969.3,3970846,SANTA TERESA,1,9002,123170,1,1
Blue,285.2969.1,3970629,SANTA TERESA,1,9003,123170,1,1
Blue,285.2969.1,3970630,SANTA TERESA,1,9004,123170,1,1
Blue,285.2969.2,3970745,SANTA TERESA,1,9003,123170,1,1
Blue,285.2969.3,3970847,SANTA TERESA,1,9003,123170,1,1
Blue,285.2969.1,3970631,SANTA TERESA,1,9005,123170,1,1
Blue,285.2969.1,3970632,SANTA TERESA,1,9006,123170,1,1
Blue,285.2969.2,3970746,SANTA TERESA,1,9004,123170,1,1
Blue,285.2969.3,3970848,SANTA TERESA,1,9004,123170,1,1
Blue,285.2969.1,3970633,SANTA TERESA,1,9007,123170,1,1
Blue,285.2969.2,3970747,SANTA TERESA,1,9005,123170,1,1
Blue,285.2969.3,3970849,SANTA TERESA,1,9005,123170,1,1
Blue,285.2969.1,3970634,SANTA TERESA,1,9008,123170,1,1
Blue,285.2969.2,3970748,SANTA TERESA,1,9006,123170,1,1
Blue,285.2969.3,3970850,SANTA TERESA,1,9006,123170,1,1
Blue,285.2969.1,3970635,SANTA TERESA,1,9009,123170,1,1
Blue,285.2969.1,3970636,SANTA TERESA,1,9001,123170,1,1
Blue,285.2969.2,3970749,SANTA TERESA,1,9001,123170,1,1
Blue,285.2969.3,3970851,SANTA TERESA,1,9001,123170,1,1
Blue,285.2969.1,3970637,SANTA TERESA,1,9002,123170,1,1
Blue,285.2969.2,3970750,SANTA TERESA,1,9002,123170,1,1
Blue,285.2969.3,3970852,SANTA TERESA,1,9002,123170,1,1
Blue,285.2969.1,3970638,SANTA TERESA,1,9003,123170,1,1
Blue,285.2969.1,3970639,SANTA TERESA,1,9004,123170,1,1
Blue,285.2969.2,3970751,SANTA TERESA,1,9003,123170,1,1
Blue,285.2969.3,3970853,SANTA TERESA,1,9003,123170,1,1
Blue,285.2969.1,3970640,SANTA TERESA,1,9005,123170,1,1
Blue,285.2969.2,3970752,SANTA TERESA,1,9004,123170,1,1
Blue,285.2969.3,3970854,SANTA TERESA,1,9004,123170,1,1
Blue,285.2969.1,3970641,SANTA TERESA,1,9006,123170,1,1
Blue,285.2969.2,3970753,SANTA TERESA,1,9005,123170,1,1
Blue,285.2969.3,3970855,SANTA TERESA,1,9005,123170,1,1
Blue,285.2969.1,3970642,SANTA TERESA,1,9007,123170,1,1
Blue,285.2969.1,3970643,SANTA TERESA,1,9008,123170,1,1
Blue,285.2969.2,3970754,SANTA TERESA,1,9006,123170,1,1
Blue,285.2969.3,3970856,SANTA TERESA,1,9006,123170,1,1
Blue,285.2969.1,3970644,SANTA TERESA,1,9009,123170,1,1
Blue,285.2969.2,3970755,SANTA TERESA,1,9001,123170,1,1
Blue,285.2969.3,3970857,SANTA TERESA,1,9001,123170,1,1
Blue,285.2969.1,3970645,SANTA TERESA,1,9001,123170,1,1
Blue,285.2969.2,3970756,SANTA TERESA,1,9002,123170,1,1
Blue,285.2969.3,3970858,SANTA TERESA,1,9002,123170,1,1
Blue,285.2969.1,3970646,SANTA TERESA,1,9002,123170,1,1
Blue,285.2969.1,3970647,SANTA TERESA,1,9003,123170,1,1
Blue,285.2969.2,3970757,SANTA TERESA,1,9003,123170,1,1
Blue,285.2969.3,3970859,SANTA TERESA,1,9003,123170,1,1
Blue,285.2969.1,3970648,SANTA TERESA,1,9004,123170,1,1
Blue,285.2969.2,3970758,SANTA TERESA,1,9004,123170,1,1
Blue,285.2969.3,3970860,SANTA TERESA,1,9004,123170,1,1
Blue,285.2969.1,3970649,SANTA TERESA,1,9005,123170,1,1
Blue,285.2969.2,3970759,SANTA TERESA,1,9005,123170,1,1
Blue,285.2969.3,3970861,SANTA TERESA,1,9005,123170,1,1
Blue,285.2969.1,3970650,SANTA TERESA,1,9006,123170,1,1
Blue,285.2969.1,3970651,SANTA TERESA,1,9007,123170,1,1
Blue,285.2969.2,3970760,SANTA TERESA,1,9006,123170,1,1
Blue,285.2969.3,3970862,SANTA TERESA,1,9006,123170,1,1
Blue,285.2969.1,3970652,SANTA TERESA,1,9008,123170,1,1
