route_id,direction_id,stop_id,stop_sequence,mean_delay,stop_name,boardings,alightings,total_b_a,geometry,node,spacing_ft,index_right,cluster,adt,dist_to_adt
23,1,63071,7,-22.257142857142856,Alum Rock & McCreery,49.84518814518814,22.765101565101556,72.6102897102897,POINT (6168809.38885592 1954484.07461689),65421264,273.19041893587814,18.0,18.0,16096.5,75.21580733002394
23,1,60426,8,-8.242424242424242,Alum Rock & King,176.5811196156784,91.3552925832337,267.93641219891214,POINT (6167485.29275084 1953720.69130115),65421253,393.54268733218396,118.0,118.0,28500.0,341.90444521001785
23,1,60428,9,6.885714285714286,Alum Rock & 33rd,79.13018566400918,26.64117336911454,105.7713590331237,POINT (6166691.40391867 1953260.28014848),65421247,356.5884551204748,20.0,20.0,14511.0,43.09053637859709
23,1,60429,10,-10.314285714285715,Santa Clara & 28th,85.32822879734645,56.89169906890496,142.21992786625142,POINT (6165234.65912874 1952419.54823415),65529824,526.6574419860497,30.0,30.0,24967.75,39.49441086932498
23,1,60431,11,-45.77142857142857,Santa Clara & 24th,161.8811642605759,85.95269322181085,247.83385748238675,POINT (6164019.37448584 1951715.55685998),65494694,371.01078687599926,15.0,15.0,11923.5,19.850007778775286
23,1,60433,12,-83.37142857142857,Santa Clara & 20th,117.40724781754196,49.47766130927899,166.8849091268209,POINT (6162816.90937108 1951037.64942315),65529813,393.05815537865544,21.0,21.0,17102.666666666668,341.9002386193197
23,1,60434,13,-86.48571428571428,Santa Clara & 17th,190.16335739423965,67.19104204618914,257.35439944042884,POINT (6162058.020797 1950595.79367957),65460546,288.24628750010345,69.0,69.0,16768.0,39.452754170876034
23,1,60435,14,-110.4,Santa Clara & 14th,46.11951732907617,18.283519340137,64.40303666921317,POINT (6161248.99518408 1950127.02165122),65519591,289.14483291282704,24.0,24.0,15372.0,140.03082512434528
23,1,60437,15,-105.25714285714285,Santa Clara & 11th,99.5592179878944,97.3992188367188,196.95843682461316,POINT (6160398.19767308 1949646.87267715),65529804,291.90046751247496,23.0,23.0,14241.666666666666,158.19718194810903
23,1,60438,16,-123.94285714285714,Santa Clara & 7th,164.5072665080018,312.8525174172233,477.359783925225,POINT (6159301.49973525 1949016.35359699),65468916,431.0674060802388,77.0,77.0,14389.0,217.622973257521
23,1,63264,18,63.470588235294116,2nd & Santa Clara,150.42211954711948,166.93421162171165,317.3563311688312,POINT (6157846.73263167 1947830.77361906),65419211,326.9960939032292,98.0,98.0,10873.545454545454,297.5166188543355
23,1,65462,19,78.76470588235294,2nd & Paseo de San Antonio,172.21560939060936,56.47356393606393,228.68917332667337,POINT (6158256.83351749 1947113.88102397),65419214,238.02645538466774,113.0,113.0,5593.0,188.5967230727624
23,1,64655,20,69.25714285714285,San Carlos & 2nd,58.173609723609744,18.31704129204129,76.490651015651,POINT (6158579.61666457 1946311.25828539),65419222,357.8157446123059,119.0,119.0,3830.0,260.45650770881116
23,1,60618,21,75.22857142857143,San Carlos & Market,51.79559190809188,39.89682400932402,91.69241591741589,POINT (6158128.21828917 1946048.84804906),741845189,229.2438437539176,119.0,119.0,3830.0,290.4728740804749
23,1,60623,25,-32.82857142857143,San Carlos & Josefa,4.629799367299367,8.819784382284384,13.449583749583748,POINT (6154964.71313325 1944116.10289881),65616832,316.6486169843615,108.0,108.0,12780.0,326.0993884229618
23,1,60624,26,-64.52941176470588,San Carlos & Barack Obama Blvd,110.7444260804555,49.20035471064885,159.94478079110422,POINT (6154555.78252067 1943820.34299165),580402370,177.5667871221684,10.0,10.0,15538.5,92.15937756455334
23,1,60626,28,-45.857142857142854,San Carlos & Lincoln,9.761725774225772,30.93060689310688,40.69233266733266,POINT (6151912.40198067 1943417.58723548),4894718758,693.3952155232331,109.0,109.0,18635.0,78.25992502353952
23,1,66001,29,-26.2,San Carlos & Meridian,156.29639086403796,174.04928951767187,330.34568038170977,POINT (6150710.01462166 1943405.86120906),281447614,497.6717878032828,57.0,57.0,19511.25,124.82578641445568
23,1,60631,31,-13.294117647058824,San Carlos & Shasta,1.467807192807194,10.872094572094577,12.339901764901777,POINT (6147582.34928907 1943425.60493597),353140137,429.5676419610835,60.0,60.0,17864.25,101.14060208131995
23,1,60632,32,-40.25714285714286,San Carlos & Wabash,26.72485847485848,65.76088911088908,92.48574758574756,POINT (6146712.32084541 1943430.84836382),444937870,262.7373284922527,97.0,97.0,21670.0,309.80822735717953
23,1,60634,33,-10.057142857142857,San Carlos & Bascom,105.8506661639015,128.12761013496305,233.97827629886456,POINT (6145412.95238116 1943448.51073006),1948671947,530.2965239111545,64.0,64.0,20418.0,294.43058785956026
23,1,60642,37,15.941176470588236,Stevens Creek & Henry,4.005731768231769,10.103937728937732,14.109669497169504,POINT (6138422.37876391 1943522.85113256),8152701674,358.86638769956875,51.0,51.0,31144.5,126.20491873833637
23,1,60643,38,-13.205882352941176,Stevens Creek & Cypress,45.21385314032374,89.98405369140664,135.19790683173034,POINT (6137101.69866249 1943535.41541189),6770488049,397.90160577760776,52.0,52.0,32046.0,113.1164474503139
23,1,60644,39,4.882352941176471,Stevens Creek & San Tomas,23.32932606609077,48.14805757967525,71.47738364576607,POINT (6135580.34376559 1943547.18015215),8152701664,545.8621361050812,112.0,112.0,29778.0,121.25401916394914
23,1,60645,40,6.151515151515151,Stevens Creek & Saratoga,21.30489094239096,59.9752206127206,81.28011155511155,POINT (6134134.80958316 1943553.8326979),2404194143,373.98018096839223,134.0,134.0,23530.5,145.98711815814065
23,1,60648,42,-3.5,Stevens Creek & Woodhams,36.17887529137529,37.2869005994006,73.46577589077587,POINT (6130547.788542 1943583.84871398),65430949,674.2133043915267,40.0,40.0,27332.0,342.22495730105635
25,0,60702,6,35.666666666666664,Bollinger & Blaney,10.000426779103249,4.9738065855712925,14.974233364674545,POINT (6118771.25402425 1938838.01306131),65419468,9637.043087129116,72.0,72.0,10210.25,111.07330418058045
25,0,60703,7,2.1666666666666665,Bollinger & Alderbrook,3.4449849170437425,5.134729404582345,8.579714321626085,POINT (6120349.64653675 1938935.8183119),65419450,9436.918411496526,70.0,70.0,16690.0,35.34558526809473
25,0,60704,8,-15.722222222222221,Bollinger & Miller,24.3691309507486,15.851436880113342,40.22056783086195,POINT (6122050.25796491 1939037.93064047),65419441,9183.620194565803,67.0,67.0,13266.333333333334,137.5286336143599
25,0,65695,10,52.11764705882353,Meridian & Curci,19.06460263592616,17.127066152801444,36.1916687887276,POINT (6150496.03932783 1937558.37979381),65443949,9094.071540104842,47.0,47.0,35810.0,51.76339699266572
25,0,60707,11,-32.63157894736842,Bollinger & Wunderlich,9.15947459403342,3.553238509856157,12.712713103889572,POINT (6126053.13316125 1938709.18851581),65419423,8868.907402952924,31.0,31.0,21751.0,335.01460902161557
25,0,60709,13,-11.105263157894736,Williams & Moorpark,11.984300176947237,5.622101019895139,17.60640119684236,POINT (6127387.63049224 1938380.51791331),65531864,9411.225729976864,104.0,104.0,16879.0,286.3010198874806
25,0,60742,13,2.125,Willow & Carolyn,1.403431372549019,2.377481097334037,3.7809124698830576,POINT (6153032.10577799 1937167.32677014),65628693,9546.755647990281,91.0,91.0,8488.666666666666,212.76130602408915
25,0,60711,15,-62.05263157894737,Williams & Marilla,4.870293758529051,6.603042953778248,11.4733367123073,POINT (6130153.97929025 1938225.44834156),65579045,8695.52029534802,94.0,94.0,5790.0,336.84424305405184
