,counter_id,adt,main_road,counter_location,cross_road,nearby_intersect,geometry,index_right,route_id,route_name,route_desc,category,route_length,object_id
501,4947,36410.0,WINCHESTER BL,N of,WALGROVE WY,WINCHESTER BL & WALGROVE WY,POINT (6139958.38323782 1937479.0653199),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
505,4951,35810.0,MERIDIAN AV,S of,CURCI DR,MERIDIAN AV & CURCI DR,POINT (6150541.23575975 1937583.61333914),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
506,4952,35750.0,COLEMAN AV,N of,AIRPORT BL,COLEMAN AV & AIRPORT BL,POINT (6148571.09403075 1953419.81723098),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
513,4959,34310.0,WINCHESTER BL,S of,NEAL AV,WINCHESTER BL & NEAL AV,POINT (6139968.88551341 1939064.12087682),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
513,4959,34310.0,WINCHESTER BL,S of,NEAL AV,WINCHESTER BL & NEAL AV,POINT (6139968.88551341 1939064.12087682),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
514,4960,34238.0,WINCHESTER BL,N of,NEAL AV,WINCHESTER BL & NEAL AV,POINT (6139970.29561558 1939381.52542573),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
514,4960,34238.0,WINCHESTER BL,N of,NEAL AV,WINCHESTER BL & NEAL AV,POINT (6139970.29561558 1939381.52542573),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
515,4961,34140.0,WINCHESTER BL,N of,LOMA VERDE DR,WINCHESTER BL & LOMA VERDE DR,POINT (6139939.4252705 1934689.90652815),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
516,4962,33570.0,STEVENS CREEK BL,E of,HAROLD AV,STEVENS CREEK BL & HAROLD AV,POINT (6136616.37286149 1943495.03163439),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
516,4962,33570.0,STEVENS CREEK BL,E of,HAROLD AV,STEVENS CREEK BL & HAROLD AV,POINT (6136616.37286149 1943495.03163439),55,23897,523,SAN JOSE STATE - LOCKHEED MARTIN,Rapid,162676.69029166122,56
518,4964,33000.0,STEVENS CREEK BL,W of,ROSEWOOD AV,STEVENS CREEK BL & ROSEWOOD AV,POINT (6138689.13019891 1943474.25214839),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
518,4964,33000.0,STEVENS CREEK BL,W of,ROSEWOOD AV,STEVENS CREEK BL & ROSEWOOD AV,POINT (6138689.13019891 1943474.25214839),55,23897,523,SAN JOSE STATE - LOCKHEED MARTIN,Rapid,162676.69029166122,56
521,4967,32111.0,STEVENS CREEK BL,W of,CYPRESS AV,STEVENS CREEK BL & CYPRESS AV,POINT (6137081.41556658 1943490.63039649),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
521,4967,32111.0,STEVENS CREEK BL,W of,CYPRESS AV,STEVENS CREEK BL & CYPRESS AV,POINT (6137081.41556658 1943490.63039649),55,23897,523,SAN JOSE STATE - LOCKHEED MARTIN,Rapid,162676.69029166122,56
522,4968,31981.0,STEVENS CREEK BL,E of,CYPRESS AV,STEVENS CREEK BL & CYPRESS AV,POINT (6137328.44230349 1943487.70520549),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
522,4968,31981.0,STEVENS CREEK BL,E of,CYPRESS AV,STEVENS CREEK BL & CYPRESS AV,POINT (6137328.44230349 1943487.70520549),55,23897,523,SAN JOSE STATE - LOCKHEED MARTIN,Rapid,162676.69029166122,56
527,4973,30827.0,STORY RD,E of,LUCRETIA AV,STORY RD & LUCRETIA AV,POINT (6167235.92251466 1945747.10062106),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
535,4981,28920.0,STORY RD,E of,LYNDALE AV,STORY RD & LYNDALE AV,POINT (6177557.15646534 1954262.41003399),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
541,4987,27588.0,STEVENS CREEK BL,E of,RICHFIELD DR,STEVENS CREEK BL & RICHFIELD DR,POINT (6130365.174734 1943539.94033723),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
541,4987,27588.0,STEVENS CREEK BL,E of,RICHFIELD DR,STEVENS CREEK BL & RICHFIELD DR,POINT (6130365.174734 1943539.94033723),55,23897,523,SAN JOSE STATE - LOCKHEED MARTIN,Rapid,162676.69029166122,56
542,4988,27488.0,MOORPARK AV,W of,THORNTON WY,MOORPARK AV & THORNTON WY,POINT (6143182.08020249 1940781.12925382),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
543,4989,27400.0,SANTA CLARA ST,E of,28TH ST,SANTA CLARA ST & 28TH ST,POINT (6165234.20145249 1952378.07226723),2,23875,22,PALO ALTO - EASTRIDGE,Frequent,242559.90769687793,3
543,4989,27400.0,SANTA CLARA ST,E of,28TH ST,SANTA CLARA ST & 28TH ST,POINT (6165234.20145249 1952378.07226723),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
543,4989,27400.0,SANTA CLARA ST,E of,28TH ST,SANTA CLARA ST & 28TH ST,POINT (6165234.20145249 1952378.07226723),54,23896,522,PALO ALTO - EASTRIDGE,Rapid,253522.04243493578,55
552,4998,25918.0,STORY RD,W of,LUCRETIA AV,STORY RD & LUCRETIA AV,POINT (6166758.83685467 1945353.58041073),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
564,5010,24530.0,KING RD,N of,BISCAYNE WY,KING RD & BISCAYNE WY,POINT (6172797.31559134 1946942.59101222),2,23875,22,PALO ALTO - EASTRIDGE,Frequent,242559.90769687793,3
565,5011,24366.0,SAN CARLOS ST,W of,MERIDIAN AV,SAN CARLOS ST & MERIDIAN AV,POINT (6150479.17682874 1943364.80256414),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
565,5011,24366.0,SAN CARLOS ST,W of,MERIDIAN AV,SAN CARLOS ST & MERIDIAN AV,POINT (6150479.17682874 1943364.80256414),55,23897,523,SAN JOSE STATE - LOCKHEED MARTIN,Rapid,162676.69029166122,56
566,5012,24347.0,KING RD,S of,STORY RD,KING RD & STORY RD,POINT (6171382.52052066 1948821.1961789),2,23875,22,PALO ALTO - EASTRIDGE,Frequent,242559.90769687793,3
566,5012,24347.0,KING RD,S of,STORY RD,KING RD & STORY RD,POINT (6171382.52052066 1948821.1961789),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
567,5013,24341.0,SANTA CLARA ST,W of,28TH ST,SANTA CLARA ST & 28TH ST,POINT (6165056.27333066 1952275.57050373),2,23875,22,PALO ALTO - EASTRIDGE,Frequent,242559.90769687793,3
567,5013,24341.0,SANTA CLARA ST,W of,28TH ST,SANTA CLARA ST & 28TH ST,POINT (6165056.27333066 1952275.57050373),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
567,5013,24341.0,SANTA CLARA ST,W of,28TH ST,SANTA CLARA ST & 28TH ST,POINT (6165056.27333066 1952275.57050373),54,23896,522,PALO ALTO - EASTRIDGE,Rapid,253522.04243493578,55
573,5019,23976.0,SAN CARLOS ST,E of,MERIDIAN AV,SAN CARLOS ST & MERIDIAN AV,POINT (6150701.05040075 1943360.79010499),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
573,5019,23976.0,SAN CARLOS ST,E of,MERIDIAN AV,SAN CARLOS ST & MERIDIAN AV,POINT (6150701.05040075 1943360.79010499),55,23897,523,SAN JOSE STATE - LOCKHEED MARTIN,Rapid,162676.69029166122,56
576,5022,23743.0,OCALA AV,E of,CAPITOL EXPY,OCALA AV & CAPITOL EXPY,POINT (6178007.90129875 1949299.2641204),54,23896,522,PALO ALTO - EASTRIDGE,Rapid,253522.04243493578,55
587,5033,22730.0,SAN CARLOS ST,W of,LEIGH AV,SAN CARLOS ST & LEIGH AV,POINT (6147546.53669666 1943385.91669515),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
587,5033,22730.0,SAN CARLOS ST,W of,LEIGH AV,SAN CARLOS ST & LEIGH AV,POINT (6147546.53669666 1943385.91669515),55,23897,523,SAN JOSE STATE - LOCKHEED MARTIN,Rapid,162676.69029166122,56
588,5034,22694.0,SAN CARLOS ST,E of,LEIGH AV,SAN CARLOS ST & LEIGH AV,POINT (6147769.4411065 1943385.24018732),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
588,5034,22694.0,SAN CARLOS ST,E of,LEIGH AV,SAN CARLOS ST & LEIGH AV,POINT (6147769.4411065 1943385.24018732),55,23897,523,SAN JOSE STATE - LOCKHEED MARTIN,Rapid,162676.69029166122,56
600,5046,21760.0,TRADE ZONE BL,E of,LUNDY AV,TRADE ZONE BL & LUNDY AV,POINT (6157899.00975809 1972306.81423381),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
610,5056,21060.0,SANTA CLARA ST,E of,MARKET ST,SANTA CLARA ST & MARKET ST,POINT (6157051.01834384 1947674.82609631),2,23875,22,PALO ALTO - EASTRIDGE,Frequent,242559.90769687793,3
610,5056,21060.0,SANTA CLARA ST,E of,MARKET ST,SANTA CLARA ST & MARKET ST,POINT (6157051.01834384 1947674.82609631),54,23896,522,PALO ALTO - EASTRIDGE,Rapid,253522.04243493578,55
617,5063,20670.0,KING RD,S of,WAVERLY AV,KING RD & WAVERLY AV,POINT (6175220.97216132 1943771.0940744),2,23875,22,PALO ALTO - EASTRIDGE,Frequent,242559.90769687793,3
619,5065,20610.0,TRADE ZONE BL,W of,LUNDY AV,TRADE ZONE BL & LUNDY AV,POINT (6157599.21442591 1972341.53529298),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
621,5067,20418.0,STEVENS CREEK BL,W of,BASCOM AV,STEVENS CREEK BL & BASCOM AV,POINT (6145121.24331892 1943408.57084931),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
621,5067,20418.0,STEVENS CREEK BL,W of,BASCOM AV,STEVENS CREEK BL & BASCOM AV,POINT (6145121.24331892 1943408.57084931),55,23897,523,SAN JOSE STATE - LOCKHEED MARTIN,Rapid,162676.69029166122,56
