,route_id,direction_id,stop_id,stop_sequence,mean_delay,stop_name,boardings,alightings,total_b_a,geometry,proj_dist,spacing
89,22,0,60040,91,-343.5,King & Story,238.76370598355896,288.76921322141914,527.5329192049778,POINT (6171451.19098699 1948671.12922181),78896.64525517602,0.0
90,22,0,60041,92,-282.6666666666667,King & Christopher,14.65468967307202,32.62560495060496,47.280294623676994,POINT (6172153.21582967 1947748.16715698),78896.64525517602,0.0
91,22,0,60042,93,-310.0,King & Miami,14.260536032594851,40.486832856685794,54.74736888928064,POINT (6173065.8275215 1946541.82704999),78896.64525517602,0.0
92,22,0,60043,94,-330.6666666666667,King & Havana,32.23416599740129,92.4745754245754,124.70874142197668,POINT (6173718.85771149 1945682.60337473),78896.64525517602,0.0
93,22,0,60044,95,-346.3333333333333,King & Cunningham,34.016051921934285,85.34431279504811,119.36036471698232,POINT (6174381.73663507 1944817.79375264),78896.64525517602,0.0
94,22,0,60045,96,-368.6666666666667,King & Waverly,12.776400396988633,73.79196685667273,86.56836725366134,POINT (6175216.58568716 1943732.43798374),78896.64525517602,0.0
95,22,0,60046,97,-385.0,King & Seminole,14.793383087500736,107.29635519709048,122.0897382845912,POINT (6175719.71525833 1943079.67649397),78896.64525517602,0.0
96,22,0,60047,98,-368.3333333333333,Tully & King,21.700355496756423,147.8202036053042,169.5205591020606,POINT (6176321.56280792 1942660.39682072),78896.64525517602,0.0
97,22,0,60048,99,-383.0,Tully & Brahms,6.545140725287782,43.09321323241604,49.63835395770383,POINT (6177169.52272616 1943357.01681857),78896.64525517602,0.0
98,22,0,60049,100,-402.6666666666667,Tully & Quimby,14.747801390216257,67.96769039783744,82.71549178805371,POINT (6177953.14681508 1944010.50960606),78896.64525517602,0.0
99,22,0,60050,101,-422.0,Tully & Eastridge Way,0.7307692307692306,8.52773200741467,9.258501238183902,POINT (6178588.27776267 1944529.19787315),78896.64525517602,0.0
100,22,0,65707,102,-455.6666666666667,Tully & Capitol,2.7082711406240825,45.99602485577721,48.70429599640128,POINT (6179623.52733257 1945380.92910931),78896.64525517602,0.0
101,22,0,65812,103,-419.3333333333333,Eastridge Transit Center (Bay 5),0.0,1087.191627979863,1087.191627979863,POINT (6180650.18013491 1944273.75087748),78896.64525517602,0.0
102,22,1,65810,2,30.5,Eastridge Transit Center (Bay 6),677.1005376975966,0.0,677.1005376975966,POINT (6180454.63787508 1944472.03263314),78896.64525517602,
103,22,1,60053,3,30.0,Tully & Quimby,81.85968198468194,16.38665419547773,98.2463361801597,POINT (6177605.19541125 1943875.58927223),78896.64525517602,0.0
104,22,1,60054,4,14.0,Tully & Kenesta,47.24846917788096,11.4404463183875,58.68891549626843,POINT (6176925.70858125 1943307.29907022),78896.64525517602,0.0
105,22,1,60055,5,14.5,King & Tully,175.0758443354032,17.758625688037448,192.83447002344053,POINT (6176051.84549958 1942753.43206772),78896.64525517602,0.0
106,22,1,60056,6,24.5,King & Seminole,8.48444855797797,2.665618939883645,11.150067497861617,POINT (6175628.58125424 1943297.26857848),78896.64525517602,0.0
107,22,1,60425,7,11.0,King & Waverly,78.00327385033273,16.160768071797484,94.16404192213014,POINT (6175120.6186875 1943957.38339998),78896.64525517602,0.0
108,22,1,60057,8,-6.5,King & Cunningham,105.23089533016004,33.646017462929215,138.87691279308925,POINT (6174527.10379842 1944734.15743698),78896.64525517602,0.0
109,22,1,60058,9,-27.5,King & Ocala,97.5870973797444,28.67271527492116,126.25981265466558,POINT (6173760.78873 1945727.5232324),78896.64525517602,0.0
110,22,1,60059,10,-50.5,King & Biscayne,52.95605505605508,15.102580670963022,68.0586357270181,POINT (6172900.09589759 1946867.91596472),78896.64525517602,0.0
111,22,1,60060,11,-76.5,King & Everglade,28.80308310970075,16.460309869868695,45.26339297956948,POINT (6171993.74698849 1948063.61206415),78896.64525517602,0.0
112,22,1,65427,12,-90.5,King & Story,250.86059414441755,183.21120619576504,434.0718003401829,POINT (6171423.69432282 1948841.94187231),78896.64525517602,0.0
113,22,1,60061,13,5.5,King & Story,191.8293791992321,53.91276819585644,245.74214739508864,POINT (6170984.30904675 1949424.31964456),78896.64525517602,0.0
114,22,1,60063,14,-25.5,King & Virginia,44.15400636944758,45.694812540400775,89.84881890984832,POINT (6169795.79436341 1951000.6681979),78896.64525517602,0.0
115,22,1,60064,15,-37.0,King & Kammerer,49.92121391680215,27.24025296598826,77.16146688279038,POINT (6169252.40306175 1951704.01226364),78896.64525517602,0.0
116,22,1,60065,16,-71.5,King & San Antonio,39.93575036075036,51.8649602031955,91.80071056394586,POINT (6168449.96831492 1952846.26063532),78896.64525517602,0.0
117,22,1,60426,17,-34.0,Alum Rock & King,176.5811196156784,91.3552925832337,267.93641219891214,POINT (6167485.29275084 1953720.69130115),78896.64525517602,0.0
118,22,1,60428,18,74.33333333333333,Alum Rock & 33rd,79.13018566400918,26.64117336911454,105.7713590331237,POINT (6166691.40391867 1953260.28014848),78896.64525517602,0.0
119,22,1,60429,19,54.666666666666664,Santa Clara & 28th,85.32822879734645,56.89169906890496,142.21992786625142,POINT (6165234.65912874 1952419.54823415),78896.64525517602,0.0
120,22,1,60431,20,26.0,Santa Clara & 24th,161.8811642605759,85.95269322181085,247.83385748238675,POINT (6164019.37448584 1951715.55685998),78896.64525517602,0.0
121,22,1,60433,21,-5.333333333333333,Santa Clara & 20th,117.40724781754196,49.47766130927899,166.8849091268209,POINT (6162816.90937108 1951037.64942315),78896.64525517602,0.0
122,22,1,60434,22,-23.333333333333332,Santa Clara & 17th,190.16335739423965,67.19104204618914,257.35439944042884,POINT (6162058.020797 1950595.79367957),78896.64525517602,0.0
123,22,1,60435,23,-40.666666666666664,Santa Clara & 14th,46.11951732907617,18.283519340137,64.40303666921317,POINT (6161248.99518408 1950127.02165122),78896.64525517602,0.0
124,22,1,60437,24,-56.666666666666664,Santa Clara & 11th,99.5592179878944,97.3992188367188,196.95843682461316,POINT (6160398.19767308 1949646.87267715),78896.64525517602,0.0
125,22,1,60438,25,-70.66666666666667,Santa Clara & 7th,164.5072665080018,312.8525174172233,477.359783925225,POINT (6159301.49973525 1949016.35359699),78896.64525517602,0.0
126,22,1,60439,26,-68.33333333333333,Santa Clara & 5th,1412.6696955005775,2011.2584045856097,3423.9281000861847,POINT (6158689.41008016 1948639.05743556),78896.64525517602,0.0
127,22,1,65849,27,-45.333333333333336,Santa Clara & 2nd,325.42883668618987,278.0328862314157,603.4617229176056,POINT (6157575.71742566 1948005.21716781),78896.64525517602,0.0
128,22,1,60441,28,48.666666666666664,Santa Clara & Market,69.43153643741881,68.5142960797373,137.94583251715613,POINT (6156878.64073583 1947605.91842572),78896.64525517602,0.0
129,22,1,60442,29,57.0,Santa Clara & Almaden Ave,36.199014384308505,35.463456233309195,71.66247061761771,POINT (6156340.74647041 1947294.93709232),78896.64525517602,0.0
130,22,1,60443,30,55.666666666666664,Santa Clara & Almaden Blvd,84.92682978785932,114.74602815485174,199.6728579427109,POINT (6155888.49442217 1947014.7332564),78896.64525517602,0.0
131,22,1,60444,31,33.666666666666664,Santa Clara & Delmas,10.608209682474389,44.44090223501991,55.04911191749432,POINT (6154976.04972474 1946528.02392797),78896.64525517602,0.0
132,22,1,60445,32,19.0,Santa Clara & Cahill,115.76268690459868,129.75330617095318,245.515993075552,POINT (6154143.02940917 1946434.52313073),78896.64525517602,0.0
133,22,1,60446,33,16.666666666666668,The Alameda & Bush,56.501607297930846,103.89937741996567,160.40098471789648,POINT (6153307.07602859 1946397.89820398),78896.64525517602,0.0
134,22,1,60448,34,-2.3333333333333335,The Alameda & Morrison,14.096446445711152,24.52415019620902,38.62059664192016,POINT (6152049.99291283 1946336.68408756),78896.64525517602,0.0
135,22,1,60449,35,-28.666666666666668,The Alameda & Julian,87.3751758862053,111.26892315201142,198.64409903821672,POINT (6151087.65789525 1946423.29054165),78896.64525517602,0.0
136,22,1,60450,36,-43.333333333333336,The Alameda & Hester,9.078007939772649,17.49290137966609,26.57090931943873,POINT (6150439.91279966 1947103.82887873),78896.64525517602,0.0
137,22,1,60451,37,-65.33333333333333,The Alameda & Schiele,5.207224556489263,9.16966252701547,14.376887083504732,POINT (6149906.68453541 1947683.23815298),78896.64525517602,0.0
138,22,1,60452,38,-106.0,The Alameda & Taylor,145.55305185011065,124.8877442818619,270.44079613197255,POINT (6149022.07508416 1948635.04432023),78896.64525517602,0.0
