bus_id,trip_id,route_id,lat,lon,time,speed,direction,geometry,line_id
4305,3922764,Rapid 522,37.44377136230469,-122.1660309,1774546301,0.0,0,POINT (6078026.989368005 1988357.2922126136),23875
4306,3922770,Rapid 522,37.33853912353516,-121.8854523,1774546301,0.00102888,0,POINT (6158903.888090604 1948718.3118109398),23875
4310,3922840,Rapid 522,37.42074966430664,-122.1374435,1774546301,0.00205776,1,POINT (6086178.310189415 1979829.7975701327),23875
4311,3922765,Rapid 522,37.430152893066406,-122.1517563,1774546301,0.0,0,POINT (6082082.919791771 1983326.0565906176),23875
4312,3922838,Rapid 522,37.36747360229492,-122.0317612,1774546301,8.14512825,1,POINT (6116546.652354708 1959914.8684244538),23875
4313,3922768,Rapid 522,37.35229110717773,-121.9931259,1774546301,0.00102888,0,POINT (6127684.698121312 1954206.1922287534),23875
4315,3922832,Rapid 522,37.32720184326172,-121.811058,1774546301,0.0025722,1,POINT (6180471.670929766 1944279.2106365748),23875
4318,3922839,Rapid 522,37.39269256591797,-122.0959244,1774546301,6.533902645111084,1,POINT (6098059.506951443 1969407.3303898594),23875
4319,3922834,Rapid 522,37.34276199,-121.8212967,1774546301,11.719457626342772,1,POINT (6177574.896563955 1949986.0113965503),23896
4320,3922766,Rapid 522,37.38398361206055,-122.0804672,1774546301,14.52984333,0,POINT (6102495.783276911 1966160.6356905506),23875
4322,3922836,Rapid 522,37.35056686401367,-121.9348221,1774546301,14.462451934814451,1,POINT (6144619.905558197 1953313.3821431613),23875
4325,3922804,Rapid 522,37.33532333374024,-121.8159103,1774546301,17.636032104492188,0,POINT (6179102.508144375 1947255.7792412962),23896
4329,3922833,Rapid 522,37.32704162597656,-121.8109207,1774546301,0.00154332,1,POINT (6180510.77186701 1944220.3215328825),23875
6210,3926020,60,37.32136535644531,-121.9500885,1774546301,13.10998821258545,0,POINT (6140018.196189093 1942750.7087042006),23904
